OTU6583; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU6596; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU6615; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU6682; Root; (rootrank, 39%); unclassified_Root; (domain, 39%)
OTU6683; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU6768; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU6792; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU6809; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU6862; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU6887; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU6910; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU6998; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU7043; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU7142; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU7156; Root; (rootrank, 65%); Bacteria; (domain, 65%); Proteobacteria; (phylum, 64%); Alphaproteobacteria; (class, 64%); Paracaedibacterales; (order, 64%); Paracaedibacteraceae; (family, 64%); Paracaedibacter_A; (genus, 64%)
OTU7174; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU7240; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU7269; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU7341; Root; (rootrank, 36%); unclassified_Root; (domain, 36%)
OTU7374; Root; (rootrank, 17%); unclassified_Root; (domain, 17%)
OTU7391; Root; (rootrank, 20%); unclassified_Root; (domain, 20%)
OTU7408; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU7425; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU7432; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU7465; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU7488; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU7504; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU7556; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU7599; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU7603; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU7653; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU7669; Root; (rootrank, 36%); unclassified_Root; (domain, 36%)
OTU7672; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU7675; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU7682; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU7798; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU7810; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU7848; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU7915; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU7923; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU7946; Root; (rootrank, 44%); unclassified_Root; (domain, 44%)
OTU7948; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU7963; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU8001; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU8009; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU8028; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU8066; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU8072; Root; (rootrank, 26%); unclassified_Root; (domain, 26%)
