OTU_1	OTU_2	correlation	clust_0_score	clust_1_score	clust_2_score	clust_4_score	clust_5_score	clust_6_score	clust_7_score	clust_8_score	clust_12_score	OTU_1_Taxonomy	OTU_2_Taxonomy
OTU210	OTU288	0.597114266234	0.004135645933897525	6.76134194692879e-06	0.002297108482428787	0.0013217147891371166	0.0026367197647502063	0.001707376397520235	7.589652682898103e-05	0.0	0.0005144509517045297	Planctomycetes	Planctomycetes
OTU210	OTU297	0.5517614470960001	0.004370075617490209	9.870344466886801e-06	0.0022496758523192772	0.0008313388224871529	0.002163887094582711	0.002230282146868691	0.001305507627636764	0.0	0.0009411831305660204	Planctomycetes	Kiritimatiellaeota
OTU210	OTU301	-0.505763127799	0.003553796709917932	0.003631080447783276	0.001574314280838355	0.0005288423626051573	0.0018220248876857422	0.0008561410232367812	0.0015466147754538845	0.0	0.0006042825378881519	Planctomycetes	Actinobacteria
OTU210	OTU308	0.50989428148	0.0042684899916657516	8.648473846125753e-06	0.0015054428186522036	0.0014073511423384906	0.0031398463814367623	0.001276713383642794	1.3298126471259984e-05	0.0	0.000511519281758591	Planctomycetes	Planctomycetes
OTU210	OTU309	-0.521859990003	0.003553796709917932	0.003300087028132841	0.0016573829636009727	0.0005267971641278485	0.0018349197647880148	0.000845831116787789	0.001197550830036593	0.0	0.0010234512245781272	Planctomycetes	Bacteroidetes
OTU210	OTU344	0.5184259792220001	0.0037395428621766437	8.481240098382256e-06	0.0023717435271128906	0.0021184095530345356	0.0029378426508214683	0.001162225816505753	1.3298126471259984e-05	0.0	0.0005185595323642039	Planctomycetes	Actinobacteria
OTU210	OTU348	0.701691508272	0.004271848928861531	1.3843600359352004e-05	0.0017506774199731077	0.0007684665088815754	0.002796904275962275	0.0014782855584027635	4.338991732124311e-05	0.0	0.0009483221262239095	Planctomycetes	Actinobacteria
OTU210	OTU356	0.585881088293	0.004207647111648494	3.754140844606787e-05	0.0019267580710931713	0.0009521301891118623	0.00225893160913063	0.0019064542937403612	0.0008250144025387099	0.0	0.0008128638686902088	Planctomycetes	Actinobacteria
OTU210	OTU379	0.554855745237	0.004020491963862809	8.365029539808258e-06	0.0024033408957071507	0.0009929493893076635	0.002784505317183353	0.0011446680428384586	1.4810583063755779e-05	0.0	0.0005466382297945033	Planctomycetes	Chloroflexi
OTU210	OTU391	0.63803747765	0.004380455111126983	1.0847862268496767e-05	0.0017107538517381437	0.0010644974148048157	0.0026388306087243947	0.0013718193484234292	0.00012782112339019454	0.0	0.0006447742333814174	Planctomycetes	Actinobacteria
OTU210	OTU420	0.5077548711850001	0.0036627007246536163	6.76134194692879e-06	0.0025578249880274526	0.0020549328625624284	0.002371755348444644	0.001213639302499332	1.8697240175163788e-05	0.0	0.0005118810287949949	Planctomycetes	Verrucomicrobia
OTU210	OTU423	0.644889953436	0.0039425276504618575	1.5818607282793402e-05	0.0020211647206668953	0.0011234707390682113	0.002125886538245455	0.001662013207374211	0.00028496161625515744	0.0	0.0009004337885156937	Planctomycetes	Actinobacteria
OTU210	OTU445	0.527644270359	0.004379419224987032	7.848657282728734e-06	0.0016431722318996217	0.001098417178523495	0.00219738070359755	0.0018514392878131052	1.8245220139427187e-05	0.0	0.0005005206919224342	Planctomycetes	Actinobacteria
OTU210	OTU497	0.537171093872	0.004136431368348141	9.171979608803109e-06	0.0015374267810130294	0.0009323567322383614	0.0025146743808796023	0.0012372018088218865	1.3298126471259984e-05	0.0	0.0004926299557790559	Planctomycetes	Proteobacteria
OTU210	OTU502	0.535359591018	0.004872478692784983	1.865165144551589e-05	0.0016039784767287219	0.0006779375449588215	0.002244114022044982	0.0012898127422464624	0.0001967624529577563	0.0	0.0007230017556938406	Planctomycetes	Actinobacteria
OTU210	OTU530	0.617924013085	0.0043454620045207575	8.019429879726765e-06	0.0015219213550069636	0.000568312052173812	0.0021658852960701057	0.0012154413738897332	1.4694509281229041e-05	0.0	0.0017618610367065922	Planctomycetes	Bacteroidetes
OTU210	OTU557	0.565232120617	0.003932921039554733	7.4041786567619416e-06	0.001721328297458317	0.000720795543990888	0.0031043823638396834	0.0011795443925133441	1.3903109108258302e-05	0.0	0.0004992519899355081	Planctomycetes	Proteobacteria
OTU210	OTU569	0.5152298905520001	0.004118000608874934	1.6516214001264323e-05	0.0016506612230875834	0.0006272090065917233	0.0020492957375095873	0.0013031628937450247	0.0001286492751726477	0.0	0.001241414888518656	Planctomycetes	Proteobacteria
OTU210	OTU589	0.6076147939909999	0.004076461785779926	9.29089841096253e-06	0.0017051752685711065	0.001042051494961841	0.002579378141109095	0.0009736877628194805	1.6124366219276198e-05	0.0	0.0005115085404172297	Planctomycetes	Chloroflexi
OTU210	OTU602	0.535490947762	0.003712083599923196	6.76134194692879e-06	0.002005178580279609	0.0009314287758568487	0.0024750094928507197	0.0014798647668745977	1.3298126471259984e-05	0.0	0.0004926299557790559	Planctomycetes	Planctomycetes
OTU210	OTU650	0.512349146395	0.00489786633202215	6.76134194692879e-06	0.0018789285487787752	0.0006521170435431867	0.002099154418007819	0.0012277188065307296	8.056256616935857e-05	0.0	0.0005355826327768388	Planctomycetes	Proteobacteria
OTU210	OTU660	0.503389570857	0.004559785936397411	1.4402224137531454e-05	0.0015389266565143207	0.0005464439871452135	0.001986370050991965	0.0010471028163521593	6.566958565411541e-05	0.0	0.0009265018089552594	Planctomycetes	Actinobacteria
OTU210	OTU705	0.564709916708	0.0039721353210061166	7.525741125352553e-06	0.0016901307756490792	0.0010950311210630344	0.0020303998841637643	0.0012514250786020641	1.3298126471259984e-05	0.0	0.0004993585909417941	Planctomycetes	Proteobacteria
OTU210	OTU883	0.552283496284	0.0036452641062313627	8.626154884109361e-06	0.0016931130237362165	0.0006963051597925985	0.0020718751160014918	0.0009943792080234551	1.444387482825684e-05	0.0	0.0008658126531828317	Planctomycetes	Planctomycetes
OTU210	OTU1070	-0.504156830925	0.003553796709917932	0.0008480207675659311	0.0014891888995002154	0.0005267971641278485	0.0018191534522587615	0.0008169793824163746	0.00011122910781051095	0.0	0.000506054294117411	Planctomycetes	Actinobacteria
OTU212	OTU233	0.5937660406449999	0.0	0.011375915871092534	0.00019596551276451058	2.0510883165898352e-05	3.7036456341874576e-05	0.00010474847361660539	0.0019815860053485784	0.0	0.0005835697885107585	Bacteroidetes	Planctomycetes
OTU212	OTU250	0.7209378390250001	5.815163948749262e-06	0.013124123388121026	4.015315824524452e-05	3.242261913299282e-05	7.214050126785285e-05	8.272860836202121e-05	0.00011162526716945852	0.0	0.00010901001681555244	Bacteroidetes	Bacteroidetes
OTU212	OTU269	0.5192949639819999	0.0	0.010372663304675971	0.00016783227131618146	1.3454948419182889e-05	2.7202415205163235e-05	5.565175803595893e-05	0.0035125678733680305	0.0	9.56455652259153e-05	Bacteroidetes	Cyanobacteria
OTU212	OTU285	0.55880536555	0.0	0.009054353290232117	4.880768704527642e-05	3.7951057271920655e-05	4.3154643598534554e-05	0.0004278518701031148	5.449272233903448e-05	0.0	0.0030858280839472954	Bacteroidetes	Bacteroidetes
OTU212	OTU301	0.6279636246410001	0.0	0.010555240377280955	0.00011272548051163302	1.550014689649172e-05	3.0073850632143887e-05	9.481339885636557e-05	0.0015744153734811835	0.0	0.0002072981473350113	Bacteroidetes	Actinobacteria
OTU212	OTU304	0.635816275721	0.0	0.011732395056972418	2.7600099173493426e-05	3.9184790372310985e-05	2.7202415205163235e-05	7.8160698058076e-05	4.109872449855905e-05	0.0	9.801000872458235e-05	Bacteroidetes	Cyanobacteria
OTU212	OTU309	0.678215968988	0.0	0.010224246957630521	0.00019579416327425078	1.3454948419182889e-05	4.296872773441658e-05	8.450349240737333e-05	0.001225351428063892	0.0	0.0006264668340249868	Bacteroidetes	Bacteroidetes
OTU212	OTU317	0.518714104525	0.0	0.008462075369218005	2.7600099173493426e-05	1.9346843920524277e-05	2.7202415205163235e-05	0.0015001455635321485	0.000277755276681632	0.0	0.0012017320018851666	Bacteroidetes	Bacteroidetes
OTU212	OTU326	0.530716394082	0.0	0.008099399429855136	2.7600099173493426e-05	2.0471703083044134e-05	6.1983896532791e-05	0.00020821331795884703	9.287544268813961e-05	0.0	0.0029654297913691142	Bacteroidetes	Bacteroidetes
OTU212	OTU330	0.629606976603	0.0	0.010754918618700846	4.0358483926968636e-05	2.2215392613091347e-05	4.940475043467354e-05	8.675567145409905e-05	9.363635778428627e-05	0.0	0.00025569647390093653	Bacteroidetes	Cyanobacteria
OTU212	OTU332	0.653012771857	0.0	0.010901749152305061	0.00010083194028037553	4.7330167595429135e-05	4.313203155072279e-05	7.708842864571333e-05	0.00017354277489571026	0.0	0.00014898837519036154	Bacteroidetes	Proteobacteria
OTU212	OTU333	0.616454316072	0.0	0.010831046204632797	0.00025649032615836394	1.3454948419182889e-05	2.7202415205163235e-05	5.565175803595893e-05	0.0005477297160268777	0.0	9.834778636724907e-05	Bacteroidetes	Proteobacteria
OTU212	OTU350	0.59788758515	0.0	0.009718858737815594	0.000992280280510738	0.00014133319013003777	2.7202415205163235e-05	6.372734553494948e-05	0.00039159037929334525	0.0	9.56455652259153e-05	Bacteroidetes	Proteobacteria
OTU212	OTU361	0.631448581743	0.0	0.010667030763658304	2.7600099173493426e-05	1.3454948419182889e-05	2.9524329460933118e-05	7.932083817053801e-05	4.109872449855905e-05	0.0	0.00033527417652779297	Bacteroidetes	Proteobacteria
OTU212	OTU385	0.535387007879	0.0	0.009809537480428523	0.0001189850816896496	8.506333474778556e-05	2.9355991775398724e-05	6.0478551909898235e-05	0.0011351928903665495	0.0	9.654176069690187e-05	Bacteroidetes	Cyanobacteria
OTU212	OTU401	0.70733561538	0.0	0.010090507863001582	2.7600099173493426e-05	1.69317858306079e-05	2.7202415205163235e-05	7.535277016385598e-05	0.0001356816881067322	0.0	0.00024827652909099006	Bacteroidetes	Proteobacteria
OTU212	OTU450	0.583566714077	0.0	0.00894919414207506	0.00012930437765943994	2.113731915335122e-05	4.604805587705408e-05	8.012127930212798e-05	0.0007147339732616178	0.0	0.00011044817661942553	Bacteroidetes	Cyanobacteria
OTU212	OTU463	0.6867642301100001	0.0	0.010192225230177376	2.7600099173493426e-05	1.3454948419182889e-05	2.7202415205163235e-05	5.874516927145874e-05	4.109872449855905e-05	0.0	0.00015127936370369884	Bacteroidetes	Actinobacteria
OTU212	OTU465	0.526592920357	0.0	0.00893517911720948	2.7600099173493426e-05	1.3454948419182889e-05	2.7202415205163235e-05	8.001747769810367e-05	0.0005389549441018266	0.0	9.56455652259153e-05	Bacteroidetes	Proteobacteria
OTU212	OTU476	0.643564918671	0.0	0.009659546115303693	5.8205158792449685e-05	1.7340825526069666e-05	4.3615363743520095e-05	8.50386410215319e-05	0.0004270472564053225	0.0	0.00010193620922905356	Bacteroidetes	Verrucomicrobia
OTU212	OTU478	0.551041831419	0.0	0.008502125565546147	0.0002977383869238194	1.78228795281631e-05	3.935438569313562e-05	0.00017651245690014313	0.0009576872760431645	0.0	0.0003459758091137302	Bacteroidetes	Proteobacteria
