SampleID	StationName	DateMMDDYY	DepthName	sequencing ID	CollectionAgency	sequencing_ID	Month	Year	Month_Year	Salinity_Group	Time	Actual Depth (m)	Temp (°C)	Conductivity (μS/cm)	Specific Conductivity (μS/cm)	Total Dissolved Solids (mg/L)	Salinity (PSU)	ODO (% sat)	ODO (mg/L)	Pressure (psi)	pH	ORP (mV)	Turbidity (FNU)	Station	CHLA	DIN	DO	DOC	DON	DOP	FSS	KD	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALINITY	SECCHI	SIF	SIGMA_T	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	WTEMP	TotalDepth
SB060117TAWCSCB33CD2BR1TR1I526	CB33C	060117	02	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:09:00	2.06	19.58	9611.0	10625.0	6857.0	5.96	97.4	8.64	3.001	7.74	37.2	3.03																																	
SB060117TAWCSCB33CD2BR2TR1I543	CB33C	060117	02	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:09:00	2.06	19.58	9611.0	10625.0	6857.0	5.96	97.4	8.64	3.001	7.74	37.2	3.03																																	
SB060117TAWCSCB33CD3BR1TR1I527	CB33C	060117	03	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:17:00	2.96	19.67	11113.0	12382.0	8049.0	7.12	97.8	8.58	4.234	7.89	37.6	2.78																																	
SB060117TAWCSCB33CD4BR1TR1I528	CB33C	060117	04	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:27:00	3.95	19.73	11414.0	12701.0	8264.0	7.35	100.6	8.82	6.027	8.07	36.8	2.82																																	
SB060117TAWCSCB33CD4BR2TR1I544	CB33C	060117	04	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:27:00	3.95	19.73	11414.0	12701.0	8264.0	7.35	100.6	8.82	6.027	8.07	36.8	2.82																																	
SB060117TAWCSCB33CD5BR1TR1I529	CB33C	060117	05	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:35:00	4.97	19.11	12513.0	14008.0	9094.0	8.12	80.7	7.13	6.848	7.56	38.2	2.87																																	
SB061517TAWCSCB33CD6BR1TR1I563	CB33C	061517	06	esakows1_152133_plate_2	Preheim	e_15_2	06	17	06 17	Mesohaline	09:31:00	5.9	21.073	17362.0	18866.0	12282.0	11.27	25.9	2.14	8.319	7.07	102.0	2.21																																	
SB060117TAWCSCB33CD6BR1TR1I530	CB33C	060117	06	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:43:00	6.08	18.7	14003.0	15794.0	10252.0	9.26	68.2	6.0	8.529	7.31	37.2	2.05																																	
SB060117TAWCSCB33CD7BR1TR1I531	CB33C	060117	07	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	10:51:00	7.01	17.86	16187.0	18750.0	12188.0	11.16	41.4	3.67	10.096	7.12	31.5	1.88																																	
SB060117TAWCSCB33CD8BR1TR1I532	CB33C	060117	08	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:01:00	7.94	17.93	16538.0	19264.0	12503.0	11.45	40.06	3.59	11.378	7.12	25.2	1.87																																	
SB060117TAWCSCB33CD8BR2TR1I546	CB33C	060117	08	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:01:00	7.94	17.93	16538.0	19264.0	12503.0	11.45	40.06	3.59	11.378	7.12	25.2	1.87																																	
SB061517TAWCSCB33CD8BR1TR1I564	CB33C	061517	08	sprehei1_149186	Preheim	spr14	06	17	06 17	Mesohaline	09:42:00	8.0	18.584	21926.1	25506.7	16500.0	15.12	3.0	0.27	11.555	6.98	92.8	1.08																																	
SB060117TAWCSCB33CD10BR2TR1I547	CB33C	060117	10	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:20:00	9.9	16.83	20814.0	24644.0	16000.0	14.92	9.7	0.88	14.287	6.99	-1.6	1.07																																	
SB060117TAWCSCB33CD11BR1TR1I535	CB33C	060117	11	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:30:00	11.13	16.79	20969.0	25014.0	16316.0	15.31	7.4	0.65	15.714	6.98	-13.3	1.06																																	
SB060117TAWCSCB33CD12BR1TR1I536	CB33C	060117	12	esakows1_152133_plate_2	Preheim	e_15_2	06	17	06 17	Mesohaline	11:40:00	12.01	16.75	21187.0	25172.0	16380.0	15.44	6.6	0.58	17.398	6.98	-22.7	1.14																																	
SB060117TAWCSCB33CD13BR1TR1I537	CB33C	060117	13	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:50:00	12.92	16.71	21583.0	25618.0	16648.0	15.67	5.7	0.5	18.116	6.99	-30.24	1.14																																	
SB060117TAWCSCB33CD14BR1TR1I538	CB33C	060117	14	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:59:00	13.99	16.7	22235.0	26498.0	17240.0	16.29	4.9	0.43	20.792	6.99	-32.3	1.2																																	
SB060117TAWCSCB33CD14BR2TR1I549	CB33C	060117	14	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	11:59:00	13.99	16.7	22235.0	26498.0	17240.0	16.29	4.9	0.43	20.792	6.99	-32.3	1.2																																	
